Title,Column 1,Date
Finals Week Starts,,"May 12, 2025"
Finals Week Ends,,"May 16, 2025"
Weekly Dr. Guertin Meeting,,"May 22, 2025"
Summer Kickoff,,"May 20, 2025"
PCB Order,,"May 9, 2025"
Finish Cosmic Watch,,"May 6, 2025"
Finish RP2040 Dev Board,,"May 6, 2025"
Workshop - Component Selection,,"May 30, 2025"
"Component Research ",,"May 26, 2025 → July 4, 2025"
Avionics Meeting,,"May 7, 2025"
Component Research Internal Deadline,,"June 26, 2025 → June 27, 2025"
Experiment Test,,"July 14, 2025"
Component Research Official Deadline,,"July 3, 2025 → July 4, 2025"
Dr. Guertin and Colleagues Tour,,"June 25, 2025"
,,
,,
,,
