Task name,Due date,Status,Assignee,Priority,Description,Sub-team
IEEE Mission Design Paper Due,10/03/2025 → 10/03/2025,Not started,,,,
Papers Due (first draft),10/03/2025 → 10/03/2025,Not started,,,,IEEE 2026
order Cygnet payload boards,10/05/2025,Not started,,,,Cygnet
Order Payload Microcontroller,10/06/2025 → 10/10/2025,Not started,,,,
Microcontroller Shipping Time,10/13/2025 → 10/31/2025,Not started,,,,
Cygnet Board Validation Testing,10/20/2025 → 10/24/2025,Not started,,,,
Software for Cygnet,10/20/2025 → 11/14/2025,Not started,,,,
Revise PDR Slides,10/20/2025 → 10/23/2025,Not started,,,,
Order flight hardware - Cygnet,10/20/2025,Not started,,,,Cygnet
Research + Refurbish Ground Station,10/27/2025 → 12/05/2025,Not started,,,,
Clean up the lab,10/27/2025 → 11/06/2025,Not started,,,,
Cygent long-range radio test,10/27/2025 → 11/07/2025,Not started,,,,Cygnet
PDR Slides Due - CADENCE,10/31/2025,Not started,,,,Everyone
Cygent Qualification Build Due,10/31/2025,Not started,,,,Cygnet
Build Cygnet FM,11/03/2025 → 11/20/2025,Not started,,,,Cygnet
Vibe testing - Cygnet,11/03/2025 → 11/14/2025,Not started,,,,
PDR Presentations!!! - CADENCE,11/07/2025,Not started,,,,Everyone
Structural Analysis & Design Based on Feedback,11/10/2025 → 12/05/2025,Not started,,,,Structures
Mission Operations Plan Draft (MOP),11/10/2025 → 03/06/2026,Not started,,,,Mission Ops
F Prime Component-Level Architecture,11/10/2025 → 11/26/2025,Not started,,,,Software
Custom PCB Design Round 1,11/10/2025 → 02/06/2026,Not started,,,,"Avionics/Hardware, Comms/RF, Power"
Begin Procurement of Long Lead COTS Components,11/10/2025 → 11/21/2025,Not started,,,,
Implement prelim. PDR Feedback,11/10/2025 → 11/26/2025,Not started,,,,
TID Testing - Cygnet,11/10/2025 → 11/14/2025,Not started,,,,Cygnet
Review Results to Authors,11/10/2025,Not started,,,,IEEE 2026
IEEE Paper Revisions,11/11/2025 → 12/19/2025,Not started,,,,IEEE 2026
TVAC - Cygnet,11/12/2025 → 11/16/2025,Not started,,,,Cygnet
Start Registration,11/14/2025,Not started,,,,IEEE 2026
,11/20/2025,Not started,,,,
F Prime led-blinker Tutorial,11/21/2025,Not started,,,,
Cygnet Final Flight Unit Due,11/21/2025 → 11/21/2025,Not started,,,,Cygnet
COTS Component Shipping Time,11/24/2025 → 01/16/2026,Not started,,,,
Cygnet Ops Plan,11/24/2025 → 12/12/2025,Not started,,,,Cygnet
2U flight software done - Cygnet,12/01/2025,Not started,,,,Cygnet
Cygent Flight Unit Acceptance Testing,12/01/2025 → 12/12/2025,Not started,,,,Cygnet
DMR - F Prime Component-Level Architecture Review,12/12/2025,Not started,,,,
